Title,Main Price,Current Price,Store
"Samsung Hotel Led TV HG43EE690 43"" Full HD",709.0,539.0,PLAISIO
"Samsung QLED 8K TV QE98Q950R 98"" 8K Ultra HD",6999.0,69999.0,PLAISIO
"Sony LED TV KD55XG7096 55"" 4Κ Ultra HD",999.0,699.0,PLAISIO
"Samsung Hotel Led TV HG32EJ470 32"" HD Ready",299.0,219.0,PLAISIO
"Samsung Hotel Led TV HG40EE590SK 40"" Full HD",599.0,509.0,PLAISIO
"Samsung Hotel Led TV HG43EJ470 43"" Full HD",599.0,539.0,PLAISIO
"Samsung Hotel Led TV HG49EJ470 49"" Full HD",549.0,549.0,PLAISIO
"Samsung Hotel Led TV HG43EJ690 43"" 4Κ Ultra HD",589.0,499.0,PLAISIO
"Samsung Hotel Led TV HG49EJ690 49"" 4Κ Ultra HD",859.0,699.0,PLAISIO
"Samsung Hotel Led TV HG32EE590 32"" HD Ready",469.0,359.0,PLAISIO
"Samsung QLED 4K TV QE82Q70R 82"" 4Κ Ultra HD",4999.0,3299.0,PLAISIO
"Samsung Hotel Led TV HG55EJ690 55"" 4Κ Ultra HD",109.0,809.0,PLAISIO
"Sony FULL LED TV KD49XG9005 49"" 4Κ Ultra HD",154.0,949.0,PLAISIO
"Sony LED TV KD65XF9005 65"" 4Κ Ultra HD",1999.0,1199.0,PLAISIO
"LG OLED TV OLED77W9 77"" 4Κ Ultra HD",1399.0,11999.0,PLAISIO
"Sony LED TV KD85XG8596 85"" 4Κ Ultra HD",4199.0,1999.0,PLAISIO
"Sony LED TV KD75XG8596 75"" 4Κ Ultra HD",3049.0,1699.0,PLAISIO
"LG LED TV 75UM7600 75"" 4Κ Ultra HD",2599.0,1599.0,PLAISIO
"LG Nano Cell TV 55SM9800 55"" 4Κ Ultra HD",2199.0,1349.0,PLAISIO
"LG LED TV 70UM7100 70"" 4Κ Ultra HD",159.0,999.0,PLAISIO
"Sony LED TV KDL50WF665 50"" Full HD",529.0,499.0,PLAISIO
"Samsung QLED 4K TV QE75Q85R 75"" 4Κ Ultra HD",4899.0,2599.0,PLAISIO
"LG NanoCell TV 55SM8200 55"" 4Κ Ultra HD",139.0,699.0,PLAISIO
"Sony LED TV KD49XG8396 49"" 4Κ Ultra HD",134.0,849.0,PLAISIO
"Samsung QLED 4K TV QE75Q60R 75"" 4Κ Ultra HD",2999.0,1499.0,PLAISIO
"LG OLED TV OLED55B9 55"" 4Κ Ultra HD",1999.0,1199.0,PLAISIO
"LG OLED TV OLED65B9 65"" 4Κ Ultra HD",3699.0,2199.0,PLAISIO
"Sony OLED TV KD55AG9 55"" 4Κ Ultra HD",3099.0,2499.0,PLAISIO
"Sony LED TV KDL32WE615 32"" HD Ready",479.0,329.0,PLAISIO
"Sony OLED TV KD65AG8 65"" 4Κ Ultra HD",3399.0,2399.0,PLAISIO
"LG LED TV 65UM7450 65"" 4Κ Ultra HD",149.0,749.0,PLAISIO
"Sony OLED TV KD65AG9 65"" 4Κ Ultra HD",4099.0,3499.0,PLAISIO
"Sony LED TV KD65XG7096 65"" 4Κ Ultra HD",159.0,999.0,PLAISIO
"LG LED TV 43LK5100 43"" Full HD",329.0,229.0,PLAISIO
